timestamp,time,code,current_price,ask_price_1,ask_qty_1,ask_price_2,ask_qty_2,ask_price_3,ask_qty_3,ask_price_4,ask_qty_4,ask_price_5,ask_qty_5,bid_price_1,bid_qty_1,bid_price_2,bid_qty_2,bid_price_3,bid_qty_3,bid_price_4,bid_qty_4,bid_price_5,bid_qty_5,volume,theoretical_price,iv,delta,gamma,theta,vega,rho,lp_iv
2026-03-11 13:08,,52L971,,780,3750,785,3750,790,3750,795,29250,800,2750,10,2000,5,30000,0,0,0,0,0,0,,,,,,,,,
2026-03-11 13:12,,52L971,,780,3750,785,3750,790,3750,795,29250,800,2750,710,2000,10,2000,5,30000,0,0,0,0,,,,,,,,,
2026-03-11 13:20,,52L971,,785,3750,790,3750,795,29250,800,2750,805,3000,710,2000,10,2000,5,30000,0,0,0,0,,,,,,,,,
2026-03-11 13:30,,52L971,,790,3750,795,29250,800,2750,805,3000,810,3250,710,2000,10,2000,5,30000,0,0,0,0,,,,,,,,,
2026-03-11 13:32,,52L971,,790,3750,795,29250,800,2750,805,3000,810,3250,710,2000,10,4000,5,30000,0,0,0,0,,,,,,,,,
중간 끊김,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-11 15:10,,52L971,,775,26250,0,0,0,0,0,0,0,0,730,2000,10,6000,5,30000,0,0,0,0,,,,,,,,,
2026-03-11 15:10,,52L971,,775,66000,0,0,0,0,0,0,0,0,730,2000,10,6000,5,30000,0,0,0,0,,,,,,,,,
2026-03-11 15:11,,52L971,,775,26250,0,0,0,0,0,0,0,0,730,2000,10,6000,5,30000,0,0,0,0,,,,,,,,,
2026-03-11 15:11,,52L971,,775,26250,780,39750,0,0,0,0,0,0,730,2000,10,6000,5,30000,0,0,0,0,,,,,,,,,
2026-03-11 15:19,,52L971,,775,26250,0,0,0,0,0,0,0,0,730,2000,10,6000,5,30000,0,0,0,0,,,,,,,,,
2026-03-11 15:20,,52L971,,775,26250,0,0,0,0,0,0,0,0,730,2000,10,6000,5,30000,0,0,0,0,,,,,,,,,
2026-03-11 15:30,,52L971,,775,26250,0,0,0,0,0,0,0,0,730,2000,10,6000,5,30000,0,0,0,0,,,,,,,,,
